source_file,total_contacts,deliverable_count,undeliverable_count,unknown_count,deliverable_rate
grok_paralegal_search_cbjustice_com_20251018_021428_w3.json,1,0,1,0,0.0
grok_paralegal_search_cbjustice_com_20251018_035225_w1.json,4,0,4,0,0.0
grok_paralegal_search_alaw_net_20251018_024219_w3.json,4,2,2,0,50.0
grok_paralegal_search_216lawyers_com_20251018_024752_w3.json,5,0,5,0,0.0
grok_paralegal_search_buckeyelawgroup_com_20251018_021253_w1.json,6,0,6,0,0.0
grok_paralegal_search_bakerlaw_us_20251018_021629_w2.json,2,0,2,0,0.0
grok_paralegal_search_blle_com_20251018_030305_w2.json,9,0,1,8,0.0
grok_paralegal_search_cavitch_com_20251018_021302_w3.json,9,0,9,0,0.0
grok_paralegal_search_dobbinslawohio_com_20251018_032649_w0.json,1,0,1,0,0.0
grok_paralegal_search_cdgattorneys_com_20251018_021804_w0.json,5,0,5,0,0.0
grok_paralegal_search_dmklegal_com_20251018_024042_w2.json,5,0,5,0,0.0
grok_paralegal_search_email_msn_com_20251018_020808_w0.json,1,0,1,0,0.0
grok_paralegal_search_eques_law_20251018_025456_w3.json,1,0,1,0,0.0
grok_paralegal_search_brockandscott_com_20251018_020911_w2.json,16,0,16,0,0.0
grok_paralegal_search_clunkhoose_com_20251018_023436_w3.json,9,0,9,0,0.0
grok_paralegal_search_cpmlaw_com_20251018_022624_w3.json,14,0,1,13,0.0
grok_paralegal_search_elkandelk_com_20251018_023140_w2.json,12,0,12,0,0.0
grok_paralegal_search_gpblaw_com_20251018_024326_w0.json,2,0,2,0,0.0
grok_paralegal_search_gould-law_net_20251018_031533_w0.json,5,0,5,0,0.0
grok_paralegal_search_dallegal_com_20251018_030501_w3.json,12,0,12,0,0.0
grok_paralegal_search_fdslaw_com_20251018_025145_w3.json,10,0,10,0,0.0
grok_paralegal_search_kamancus_com_20251018_020513_w3.json,1,0,1,0,0.0
grok_paralegal_search_gslawohio_com_20251018_023442_w1.json,3,0,3,0,0.0
grok_paralegal_search_jandjohio_com_20251018_024417_w1.json,2,0,2,0,0.0
grok_paralegal_search_jbllc_com_20251018_022129_w3.json,4,0,1,3,0.0
grok_paralegal_search_lawdonnell_com_20251018_024817_w0.json,1,0,1,0,0.0
grok_paralegal_search_charlesboyk-law_com_20251018_032154_w1.json,22,0,22,0,0.0
grok_paralegal_search_fightingelderabuse_com_20251018_030538_w1.json,11,0,11,0,0.0
grok_paralegal_search_eques_law_20251018_035432_w2.json,19,0,19,0,0.0
grok_paralegal_search_kleincarneylaw_com_20251018_021257_w2.json,4,0,4,0,0.0
grok_paralegal_search_levylawfirms_com_20251018_022724_w0.json,9,1,8,0,11.1
grok_paralegal_search_ldvlaw_com_20251018_024637_w2.json,8,0,1,7,0.0
grok_paralegal_search_dreyfuss_com_20251018_031100_w1.json,23,0,23,0,0.0
grok_paralegal_search_kamancus_com_20251018_035547_w0.json,15,0,15,0,0.0
grok_paralegal_search_ohiolawyer4you_com_20251018_031341_w2.json,4,0,4,0,0.0
grok_paralegal_search_mccarthylebit_com_20251018_025911_w2.json,15,0,15,0,0.0
grok_paralegal_search_memg_com_20251018_032330_w1.json,11,2,3,6,40.0
grok_paralegal_search_perantinides_com_20251018_022124_w2.json,5,0,5,0,0.0
grok_paralegal_search_nrsinjurylaw_com_20251018_021759_w1.json,13,0,13,0,0.0
grok_paralegal_search_messerlikramer_com_20251018_031001_w3.json,17,0,15,2,0.0
grok_paralegal_search_prosecutor_cuyahogacounty_us_20251018_025243_w2.json,13,0,13,0,0.0
grok_paralegal_search_memeg_com_20251018_032142_w0.json,18,4,1,13,80.0
grok_paralegal_search_robenaltlaw_com_20251018_031740_w2.json,3,0,3,0,0.0
grok_paralegal_search_sandhu-law_com_20251018_030001_w0.json,6,0,6,0,0.0
grok_paralegal_search_mdklegal_com_20251018_022308_w0.json,27,0,27,0,0.0
grok_paralegal_search_shaperolaw_com_20251018_022403_w1.json,3,0,3,0,0.0
grok_paralegal_search_smdklaw_com_20251018_030128_w1.json,4,0,1,3,0.0
grok_paralegal_search_sottileandbarile_com_20251018_033635_w3.json,0,0,0,0,0.0
grok_paralegal_search_slaterzurz_com_20251018_031718_w3.json,6,0,6,0,0.0
grok_paralegal_search_reimerlaw_com_20251018_022013_w1.json,12,7,5,0,58.3
grok_paralegal_search_sottileandbarile_com_20251018_035246_w3.json,3,0,1,2,0.0
grok_paralegal_search_spitzlawfirm_com_20251018_023544_w2.json,2,0,2,0,0.0
grok_paralegal_search_sstrialattorneys_com_20251018_031050_w0.json,7,0,7,0,0.0
grok_paralegal_search_tblaw_com_20251018_030346_w0.json,6,0,6,0,0.0
grok_paralegal_search_squirepb_com_20251018_023805_w0.json,6,0,6,0,0.0
grok_paralegal_search_sobolaw_com_20251018_031352_w2.json,15,0,15,0,0.0
grok_paralegal_search_tittlelawfirm_com_20251018_021643_w0.json,6,0,6,0,0.0
grok_paralegal_search_tt-law_com_20251018_025617_w1.json,4,0,4,0,0.0
grok_paralegal_search_tmslaw_net_20251018_023408_w0.json,6,0,6,0,0.0
grok_paralegal_search_weadvocate_net_20251018_032451_w3.json,2,0,2,0,0.0
grok_paralegal_search_raslg_com_20251018_025854_w3.json,27,0,27,0,0.0
grok_paralegal_search_ralaw_com_20251018_032809_w1.json,25,0,25,0,0.0
grok_paralegal_search_weismaninjury_com_20251018_022602_w2.json,2,0,2,0,0.0
grok_paralegal_search_ursinjurylaw_com_20251018_032643_w2.json,8,0,8,0,0.0
grok_paralegal_search_weinerlaw_com_20251018_025108_w1.json,14,0,14,0,0.0
grok_paralegal_search_ritaohio_com_20251018_025448_w0.json,7,0,1,6,0.0
grok_paralegal_search_zwickerpc_com_20251018_020840_w1.json,27,0,10,17,0.0
grok_paralegal_search_tdplawfirm_com_20251018_023950_w1.json,2,0,1,1,0.0
grok_paralegal_search_weltman_com_20251018_021224_w0.json,39,3,6,30,33.3
grok_paralegal_search_keisgeorge_com_20251018_022804_w1.json,10,0,1,9,0.0
