File_Name,Domain,Attorney_Name,Firm_Name,Practice_Area,Paralegals_Found,Emails_Verified,Likely_Valid,Invalid,Valid_Rate_%,Error
grok_paralegal_search_bakerlaw_us_20251018_021629_w2.json,bakerlaw.us,Adam S. Baker,"Baker, Baker & Baker LLC",PERSONAL_INJURY,1,3,3,0,100.0,
grok_paralegal_search_alaw_net_20251018_024219_w3.json,alaw.net,F. Peter Costello,"Albertelli Law Partners Ohio, LLC",FORECLOSURE,3,9,9,0,100.0,
grok_paralegal_search_216lawyers_com_20251018_024752_w3.json,216lawyers.com,ALEXANDER LASZLO PAL,"OBRAL, SILK & PAL, LLC",PERSONAL_INJURY,4,12,12,0,100.0,
grok_paralegal_search_cbjustice_com_20251018_035225_w1.json,cbjustice.com,Aaron P. Berg,"Caravona & Berg, LLC",OTHER,3,9,9,0,100.0,
grok_paralegal_search_buckeyelawgroup_com_20251018_021253_w1.json,buckeyelawgroup.com,Gregory E. Gudin,"The Buckeye Law Group, Inc.",PERSONAL_INJURY,5,15,15,0,100.0,
grok_paralegal_search_cdgattorneys_com_20251018_021804_w0.json,cdgattorneys.com,David J. Demers,"Cooke Demers, LLC",FORECLOSURE,4,12,12,0,100.0,
grok_paralegal_search_blle_com_20251018_030305_w2.json,blle.com,Annemarie C. Lapham,Javitch Block LLC,DEBT_COLLECTION,8,24,24,0,100.0,
grok_paralegal_search_cavitch_com_20251018_021302_w3.json,cavitch.com,Derek P. Hartman,"CAVITCH FAMILO & DURKIN CO., L.P.A.",FORECLOSURE,8,24,24,0,100.0,
grok_paralegal_search_brockandscott_com_20251018_020911_w2.json,brockandscott.com,YanFang Marilyn Ramirez,"BROCK & SCOTT, PLLC",FORECLOSURE,15,45,45,0,100.0,
grok_paralegal_search_dobbinslawohio_com_20251018_032649_w0.json,dobbinslawohio.com,Elizabeth A. Dobbins,Dobbins Law,ADMINISTRATIVE APPEAL,0,0,0,0,0,
grok_paralegal_search_clunkhoose_com_20251018_023436_w3.json,clunkhoose.com,Ted A. Humbert,"CLUNK, HOOSE CO., LPA",FORECLOSURE,8,24,24,0,100.0,
grok_paralegal_search_dallegal_com_20251018_030501_w3.json,dallegal.com,Adrienne Foster,"Diaz Anselmo & Associates, P.A.",FORECLOSURE,11,31,31,0,100.0,
grok_paralegal_search_email_msn_com_20251018_020808_w0.json,email.msn.com,"Thomas B. Bralliar, Jr.","THOMAS B. BRALLIAR, JR. CO., L.P.A.",PERSONAL_INJURY,0,0,0,0,0,
grok_paralegal_search_cpmlaw_com_20251018_022624_w3.json,cpmlaw.com,Ryan S. Bundy,CARLILE PATCHEN & MURPHY LLP,DEBT_COLLECTION,13,39,39,0,100.0,
grok_paralegal_search_dmklegal_com_20251018_024042_w2.json,dmklegal.com,Daniel M. Katz,DANIEL MARK KATZ CO LPA,PERSONAL_INJURY,4,12,12,0,100.0,
grok_paralegal_search_dreyfuss_com_20251018_031100_w1.json,dreyfuss.com,John F. Garswood,"DREYFUSS WILLIAMS & ASSOCIATES CO., L.P.A.",DEBT_COLLECTION,22,30,30,0,100.0,
grok_paralegal_search_charlesboyk-law_com_20251018_032154_w1.json,charlesboyk-law.com,Charles E. Boyk,"Charles E. Boyk Law Offices, LLC",PERSONAL_INJURY,21,63,63,0,100.0,
grok_paralegal_search_fdslaw_com_20251018_025145_w3.json,fdslaw.com,Edmond G. Bennett,"FRIEDMAN, DOMIANO & SMITH CO., L.P.A.",PERSONAL_INJURY,9,23,23,0,100.0,
grok_paralegal_search_gpblaw_com_20251018_024326_w0.json,gpblaw.com,Johna M. Bella,"Goranson Parker & Bella Co., L.P.A.",FORECLOSURE,1,3,3,0,100.0,
grok_paralegal_search_elkandelk_com_20251018_023140_w2.json,elkandelk.com,William P. Campbell,"ELK AND ELK CO., LTD.",PERSONAL_INJURY,11,33,33,0,100.0,
grok_paralegal_search_gould-law_net_20251018_031533_w0.json,gould-law.net,Craigg E. Gould,"Gould Law, LLC",OTHER,4,12,12,0,100.0,
grok_paralegal_search_jbllc_com_20251018_022129_w3.json,jbllc.com,Annemarie C. Wodzisz,Javitch Block LLC,DEBT_COLLECTION,3,9,9,0,100.0,
grok_paralegal_search_fightingelderabuse_com_20251018_030538_w1.json,fightingelderabuse.com,Robert E. Daniell,Smith Clinesmith LLP,PERSONAL_INJURY,10,30,30,0,100.0,
grok_paralegal_search_jandjohio_com_20251018_024417_w1.json,jandjohio.com,NILS PETER JOHNSON,JANDJ,OTHER,1,3,3,0,100.0,
grok_paralegal_search_lawdonnell_com_20251018_024817_w0.json,lawdonnell.com,Titus G. Donnell,THE DONNELL LAW GROUP LLC,DEBT_COLLECTION,0,0,0,0,0,
grok_paralegal_search_gslawohio_com_20251018_023442_w1.json,gslawohio.com,Michael Schrooder,"Gioffre, Schroeder & Jansky Co., LPA",PERSONAL_INJURY,2,6,6,0,100.0,
grok_paralegal_search_kleincarneylaw_com_20251018_021257_w2.json,kleincarneylaw.com,Christopher J. Carney,"KLEIN & CARNEY, CO., LLC",PERSONAL_INJURY,3,9,9,0,100.0,
grok_paralegal_search_eques_law_20251018_035432_w2.json,eques.law,Lindsey A. Wrubel,"Eques, Inc.",FORECLOSURE,18,56,56,0,100.0,
grok_paralegal_search_keisgeorge_com_20251018_022804_w1.json,keisgeorge.com,Herbert L. Nussle,Keis George LLP,DEBT_COLLECTION,9,27,27,0,100.0,
grok_paralegal_search_ldvlaw_com_20251018_024637_w2.json,ldvlaw.com,Jackson T. Moyer,"Lyons, Doughty & Veldhuis, P.C.",DEBT_COLLECTION,7,21,21,0,100.0,
grok_paralegal_search_levylawfirms_com_20251018_022724_w0.json,levylawfirms.com,Erin Enderle,"Levy & Associates, LLC",DEBT_COLLECTION,8,24,24,0,100.0,
grok_paralegal_search_kamancus_com_20251018_035547_w0.json,kamancus.com,Darcy Mehling Good,"KAMAN & CUSIMANO, LLC",FORECLOSURE,14,42,42,0,100.0,
grok_paralegal_search_mccarthylebit_com_20251018_025911_w2.json,mccarthylebit.com,Charles A. Nemer,"McCarthy, Lebit, Crystal & Liffman Co., L.P.A.",FORECLOSURE,14,42,42,0,100.0,
grok_paralegal_search_ohiolawyer4you_com_20251018_031341_w2.json,ohiolawyer4you.com,Patrick P. Merrick,"Patrick Merrick, Attorney At Law",OTHER,3,9,9,0,100.0,
grok_paralegal_search_memg_com_20251018_032330_w1.json,memg.com,NEVENKA PAVLOVIC,Attorneys for Plaintiff,OTHER CIVIL,10,30,30,0,100.0,
grok_paralegal_search_messerlikramer_com_20251018_031001_w3.json,messerlikramer.com,,MESSERLI & KRAMER PA,DEBT_COLLECTION,16,36,36,0,100.0,
grok_paralegal_search_memeg_com_20251018_032142_w0.json,memeg.com,NEVENKA PAVLOVIC,"Midland Credit Management, Inc. Legal Department",OTHER CIVIL,17,51,51,0,100.0,
grok_paralegal_search_nrsinjurylaw_com_20251018_021759_w1.json,nrsinjurylaw.com,DOUGLAS S. HUNTER,"NAGER, ROMAINE & SCHNEIBERG Co. L.P.A.",PERSONAL_INJURY,12,36,36,0,100.0,
grok_paralegal_search_perantinides_com_20251018_022124_w2.json,perantinides.com,PAUL G. PERANTINIDES,"PERANTINIDES & NOLAN CO., L.P.A.",PERSONAL_INJURY,4,12,12,0,100.0,
grok_paralegal_search_mdklegal_com_20251018_022308_w0.json,mdklegal.com,Jessica M. Johnson,MDK Legal,FORECLOSURE,26,78,78,0,100.0,
grok_paralegal_search_ritaohio_com_20251018_025448_w0.json,ritaohio.com,BRITTANY D. CARABALLO,REGIONAL INCOME TAX AGENCY,DEBT_COLLECTION,6,18,18,0,100.0,
grok_paralegal_search_robenaltlaw_com_20251018_031740_w2.json,robenaltlaw.com,Thomas D. Robenalt,"THE ROBENALT LAW FIRM, INC.",PERSONAL_INJURY,2,6,6,0,100.0,
grok_paralegal_search_shaperolaw_com_20251018_022403_w1.json,shaperolaw.com,BRIAN GREEN,Shapero Law,PERSONAL_INJURY,2,6,6,0,100.0,
grok_paralegal_search_reimerlaw_com_20251018_022013_w1.json,reimerlaw.com,Joshua J. Epling,REIMER LAW CO.,FORECLOSURE,11,33,33,0,100.0,
grok_paralegal_search_prosecutor_cuyahogacounty_us_20251018_025243_w2.json,prosecutor.cuyahogacounty.us,Judith Miles,"Prosecuting Attorney of Cuyahoga County, Ohio",FORECLOSURE,12,36,36,0,100.0,
grok_paralegal_search_slaterzurz_com_20251018_031718_w3.json,slaterzurz.com,BRANDON M. DEAN,SLATER & ZURZ LLP,PERSONAL_INJURY,5,15,15,0,100.0,
grok_paralegal_search_smdklaw_com_20251018_030128_w1.json,smdklaw.com,Michael R. Stavnicky,"Singerman, Mills, Desberg & Kauntz Co., L.P.A.",OTHER,3,9,9,0,100.0,
grok_paralegal_search_sandhu-law_com_20251018_030001_w0.json,sandhu-law.com,David T. Brady,"Sandhu Law Group, LLC",FORECLOSURE,5,15,15,0,100.0,
grok_paralegal_search_spitzlawfirm_com_20251018_023544_w2.json,spitzlawfirm.com,Bella Kneidel,"SPITZ, THE EMPLOYEE’S LAW FIRM",OTHER,1,3,3,0,100.0,
grok_paralegal_search_ralaw_com_20251018_032809_w1.json,ralaw.com,Irving B. Sugerman,ROETZEL & ANDRESS LPA,DECLARATORY JUDGMENT,24,72,72,0,100.0,
grok_paralegal_search_sottileandbarile_com_20251018_035246_w3.json,sottileandbarile.com,Franco M. Barile,"SOTTILE & BARILE, LLC",DEBT_COLLECTION,2,6,6,0,100.0,
grok_paralegal_search_tdplawfirm_com_20251018_023950_w1.json,tdplawfirm.com,Emily Stolfer,"TSILIMOS, DOLESH, AND PEÑA, LLC",PERSONAL_INJURY,1,3,3,0,100.0,
grok_paralegal_search_raslg_com_20251018_025854_w3.json,raslg.com,Brian S. Jackson,"Robertson, Anschutz, Schneid, Crane & Partners, PLLC",FORECLOSURE,26,78,78,0,100.0,
grok_paralegal_search_sstrialattorneys_com_20251018_031050_w0.json,sstrialattorneys.com,Sean C. Mowery,Schuerger Shunnarah Trial Attorneys LLC,PERSONAL_INJURY,6,18,18,0,100.0,
grok_paralegal_search_tblaw_com_20251018_030346_w0.json,tblaw.com,Douglas A. Haessig,TIFFANY & BOSCO P.A.,FORECLOSURE,5,15,15,0,100.0,
grok_paralegal_search_squirepb_com_20251018_023805_w0.json,squirepb.com,Steven M. Auvil,SQUIRE PATTON BOGGS (US) LLP,OTHER,5,15,15,0,100.0,
grok_paralegal_search_weadvocate_net_20251018_032451_w3.json,weadvocate.net,Mary K. Whitmer,WHITMER & EHRMAN LLC,OTHER CIVIL,1,3,3,0,100.0,
grok_paralegal_search_tittlelawfirm_com_20251018_021643_w0.json,tittlelawfirm.com,ALLEN C. TITTLE,TITTLE & PERLMUTER,PERSONAL_INJURY,5,15,15,0,100.0,
grok_paralegal_search_sobolaw_com_20251018_031352_w2.json,sobolaw.com,NOAH L. BROOK,"SOBO & SOBO, CO., LLP",PERSONAL_INJURY,14,42,42,0,100.0,
grok_paralegal_search_weismaninjury_com_20251018_022602_w2.json,weismaninjury.com,R. Matthew Weisman,"Rumizen & Weisman Co., Ltd.",PERSONAL_INJURY,1,3,3,0,100.0,
grok_paralegal_search_tt-law_com_20251018_025617_w1.json,tt-law.com,"Ernest V. Thomas, III",Thomas & Thomas Attorneys at Law,DEBT_COLLECTION,3,9,9,0,100.0,
grok_paralegal_search_ursinjurylaw_com_20251018_032643_w2.json,ursinjurylaw.com,Evangelos S. Sisalouis,"NAGER, ROMAINE & SCHNEIBERG CO., LPA",WORKERS COMPENSATION,7,21,21,0,100.0,
grok_paralegal_search_tmslaw_net_20251018_023408_w0.json,tmslaw.net,Jeffrey L. Koberg,Law Offices of Timothy M. Sullivan,DEBT_COLLECTION,5,15,15,0,100.0,
grok_paralegal_search_weinerlaw_com_20251018_025108_w1.json,weinerlaw.com,Joshua Blaha,"Keith D. Weiner & Associates Co., LPA",DEBT_COLLECTION,13,39,39,0,100.0,
grok_paralegal_search_zwickerpc_com_20251018_020840_w1.json,zwickerpc.com,MICHELLE L. HATFIELD,"ZWICKER & ASSOCIATES, P.C.",DEBT_COLLECTION,26,78,78,0,100.0,
grok_paralegal_search_weltman_com_20251018_021224_w0.json,weltman.com,ALEXANDER WEINBERG,"WELTMAN, WEINBERG & REIS CO., L.P.A.",DEBT_COLLECTION,38,114,114,0,100.0,
